714.077,0.771,0.022,0.2,0.044,-0.433,0.02,3.59,0.1,1.64,0.05,95,1,3.09,1.54,90,0.023

713.656,1.052,0.021,0.194,0.03,-0.44,0.014,3.51,0.07,1.57,0.03,94,1,3.09,1.54,90,0.022

713.235,1.348,0.022,0.207,0.024,-0.445,0.011,3.49,0.06,1.56,0.03,94,1,3.09,1.54,90,0.022

712.813,1.231,0.024,0.217,0.03,-0.445,0.014,3.56,0.07,1.59,0.03,94,1,3.09,1.54,90,0.025

712.392,0.977,0.023,0.251,0.036,-0.421,0.016,3.66,0.09,1.62,0.04,95,1,3.09,1.54,90,0.023

711.971,0.913,0.025,0.318,0.037,-0.464,0.019,3.14,0.09,1.57,0.04,96,1,3.09,1.54,90,0.025

711.549,1.349,0.027,0.16,0.032,-0.332,0.015,3.74,0.08,1.7,0.03,92,1,3.09,1.54,90,0.028

711.128,1.759,0.028,0.101,0.025,-0.185,0.013,3.63,0.06,1.91,0.03,94,1,3.09,1.54,90,0.029

710.706,2.031,0.029,-0.015,0.021,0.273,0.014,3.5,0.05,2.27,0.03,98,1,3.09,1.54,90,0.03

710.285,2.595,0.031,-0.091,0.017,0.564,0.009,3.49,0.04,1.87,0.02,93,1,3.09,1.54,90,0.031

709.864,3.1,0.032,-0.086,0.015,0.507,0.009,3.4,0.04,1.92,0.02,92,1,3.09,1.54,90,0.033

709.442,3.674,0.034,-0.041,0.013,0.266,0.008,3.36,0.03,2.14,0.02,93,1,3.09,1.54,90,0.035

709.021,4.295,0.038,0.022,0.013,0.048,0.008,3.43,0.03,2.05,0.02,93,1,3.09,1.54,90,0.039

708.6,4.628,0.034,0.046,0.011,-0.068,0.006,3.52,0.03,1.91,0.01,92,0,3.09,1.54,90,0.035

708.178,4.167,0.037,0.001,0.013,-0.127,0.007,3.6,0.03,1.79,0.02,92,0,3.09,1.54,90,0.037

707.757,2.765,0.034,-0.036,0.019,-0.085,0.01,3.66,0.05,1.86,0.02,93,1,3.09,1.54,90,0.035

707.335,1.7,0.03,-0.051,0.027,0.212,0.016,3.62,0.06,2.17,0.04,93,1,3.09,1.54,90,0.031

706.914,1.58,0.028,-0.078,0.027,0.486,0.014,3.62,0.06,1.9,0.03,91,1,3.09,1.54,90,0.029

706.493,1.708,0.031,-0.118,0.028,0.588,0.013,3.68,0.07,1.71,0.03,89,1,3.09,1.54,90,0.031

706.071,2.069,0.033,-0.077,0.025,0.64,0.011,3.67,0.06,1.64,0.03,89,1,3.09,1.54,90,0.034

705.65,2.234,0.033,-0.039,0.023,0.646,0.01,3.61,0.05,1.62,0.02,91,1,3.09,1.54,90,0.034

705.229,1.696,0.031,-0.115,0.026,0.605,0.013,3.36,0.06,1.63,0.03,92,1,3.09,1.54,90,0.031

704.807,1.688,0.029,-0.026,0.026,0.478,0.014,3.58,0.06,1.87,0.03,91,1,3.09,1.54,90,0.029

704.386,1.769,0.031,-0.007,0.027,0.399,0.014,3.62,0.06,1.83,0.03,90,1,3.09,1.54,90,0.032

703.965,1.942,0.034,0.001,0.027,0.297,0.014,3.67,0.06,1.87,0.03,89,1,3.09,1.54,90,0.035

703.543,2.154,0.036,0.04,0.026,0.256,0.014,3.62,0.06,1.91,0.03,90,1,3.09,1.54,90,0.037

703.122,2.115,0.032,0.038,0.023,0.305,0.012,3.56,0.05,1.88,0.03,92,1,3.09,1.54,90,0.033

702.7,2.016,0.029,-0.003,0.022,0.3,0.012,3.58,0.05,1.91,0.03,92,1,3.09,1.54,90,0.03

702.279,1.83,0.031,-0.003,0.026,0.357,0.013,3.57,0.06,1.87,0.03,92,1,3.09,1.54,90,0.032

701.858,1.473,0.029,-0.011,0.03,0.498,0.015,3.59,0.07,1.73,0.03,92,1,3.09,1.54,90,0.03

701.436,1.112,0.026,-0.042,0.036,0.574,0.017,3.59,0.08,1.66,0.04,92,1,3.09,1.54,90,0.026

701.015,0.914,0.028,-0.088,0.047,0.597,0.022,3.64,0.11,1.66,0.05,91,1,3.09,1.54,90,0.028

700.594,1.004,0.026,-0.113,0.04,0.599,0.018,3.59,0.09,1.6,0.04,93,1,3.09,1.54,90,0.026

700.172,1.261,0.024,-0.097,0.029,0.614,0.013,3.56,0.07,1.58,0.03,93,1,3.09,1.54,90,0.025

